date,balance
2013-12-03,324725136532.0
2013-12-04,327106322130.0
2013-12-05,328919258587.0
2013-12-06,328967606831.0
2013-12-09,330629381325.0
2013-12-10,331776157289.0
2013-12-11,332743940293.0
2013-12-12,333759746922.0
2013-12-13,334001126491.0
2013-12-16,334602902658.0
2013-12-17,335491500583.0
2013-12-18,335869134839.0
2013-12-19,336580983114.0
2013-12-20,337098973539.0
2013-12-23,337238351473.0
2013-12-24,337787415995.0
2013-12-25,339247975347.0
2013-12-26,340306502336.0
2013-12-27,340473125842.0
2013-12-30,343322935193.0
2013-12-31,343470148942.0
2014-01-02,344808840120.0
2014-01-03,344576607537.0
2014-01-06,345169192680.0
2014-01-07,345637757465.0
2014-01-08,346733678652.0
2014-01-09,348053637370.0
2014-01-10,348021229136.0
2014-01-13,347767316461.0
2014-01-14,347842896803.0
2014-01-15,348581689502.0
2014-01-16,349073742784.0
2014-01-17,349746815349.0
2014-01-20,350579819077.0
2014-01-21,350914700562.0
2014-01-22,351826066078.0
2014-01-23,353086577943.0
2014-01-24,352988376906.0
2014-01-27,354345840025.0
2014-01-28,353882567895.0
2014-01-29,352071514873.0
2014-01-30,347183997942.0
2014-02-07,351792010282.0
2014-02-10,357577636554.0
2014-02-11,363203087537.0
2014-02-12,367577348237.0
2014-02-13,371257642670.0
2014-02-14,371492516511.0
2014-02-17,375244073414.0
2014-02-18,379387781660.0
2014-02-19,382236134046.0
2014-02-20,384163705416.0
2014-02-21,383913192904.0
2014-02-24,385163184549.0
2014-02-25,384224090197.0
2014-02-26,385001979766.0
2014-02-27,384512324535.0
2014-02-28,383686330345.0
2014-03-03,385274868667.0
2014-03-04,386317102229.0
2014-03-05,387757092604.0
2014-03-06,388452329957.0
2014-03-07,386983703633.0
2014-03-10,385702986559.0
2014-03-11,384791640078.0
2014-03-12,383875654346.0
2014-03-13,384455824158.0
2014-03-14,383594757382.0
2014-03-17,384497055798.0
2014-03-18,386222759785.0
2014-03-19,388329387785.0
2014-03-20,388497065902.0
2014-03-21,388885173146.0
2014-03-24,390693503566.0
2014-03-25,392426730844.0
2014-03-26,393877918952.0
2014-03-27,394688264973.0
2014-03-28,393105177567.0
2014-03-31,392625476065.0
2014-04-01,391845922478.0
2014-04-02,391412551215.0
2014-04-03,392705920852.0
2014-04-04,391265820886.0
2014-04-08,392165770056.0
2014-04-09,393797472158.0
2014-04-10,397101746687.0
2014-04-11,397311532380.0
2014-04-14,399575453748.0
2014-04-15,401645081260.0
2014-04-16,402287624287.0
2014-04-17,402913458689.0
2014-04-18,402070950350.0
2014-04-21,401984687392.0
2014-04-22,402356631929.0
2014-04-23,402754578201.0
2014-04-24,402001501802.0
2014-04-25,399983358149.0
2014-04-28,398429668681.0
2014-04-29,396712813081.0
2014-04-30,393787481347.0
2014-05-05,395269868742.0
2014-05-06,396427090032.0
2014-05-07,396173829953.0
2014-05-08,396001092119.0
2014-05-09,394905247633.0
2014-05-12,395742024208.0
2014-05-13,396525774766.0
2014-05-14,396353985031.0
2014-05-15,395741098991.0
2014-05-16,394360646215.0
2014-05-19,394542578378.0
2014-05-20,394555816133.0
2014-05-21,395136781907.0
2014-05-22,394437586930.0
2014-05-23,392788010087.0
2014-05-26,392722471258.0
2014-05-27,393039899307.0
2014-05-28,393683895352.0
2014-05-29,393387496851.0
2014-05-30,391452445083.0
